"x","y","z","subject"
-40.09,-29.098,-20.635,4
-36.266,-28.965,-20.588,4
-32.442,-28.831,-20.541,4
-28.619,-28.698,-20.495,4
-40.572,-25.317,-20.718,4
-29.101,-24.917,-20.578,4
-25.277,-24.783,-20.531,4
-44.878,-21.669,-20.848,4
-41.054,-21.536,-20.801,4
-37.23,-21.402,-20.754,4
-29.583,-21.135,-20.661,4
31.598,-18.999,-19.915,4
-45.36,-17.888,-20.931,4
-37.712,-17.621,-20.838,4
-26.241,-17.22,-20.698,4
31.115,-15.218,-19.998,4
42.587,-14.817,-19.858,4
46.411,-14.684,-19.812,4
-49.666,-14.24,-21.061,4
-45.842,-14.107,-21.014,4
22.986,-11.703,-20.175,4
26.81,-11.57,-20.128,4
30.633,-11.436,-20.082,4
42.105,-11.036,-19.942,4
49.752,-10.769,-19.848,4
53.576,-10.635,-19.802,4
-53.972,-10.593,-21.191,4
-50.148,-10.459,-21.144,4
-46.324,-10.326,-21.097,4
-42.5,-10.192,-21.051,4
22.504,-7.9221,-20.258,4
30.151,-7.6551,-20.165,4
37.799,-7.388,-20.072,4
49.27,-6.9874,-19.932,4
53.094,-6.8539,-19.885,4
-50.63,-6.6777,-21.227,4
-42.982,-6.4107,-21.134,4
-12.392,-5.3425,-20.761,4
22.022,-4.1408,-20.341,4
25.845,-4.0073,-20.295,4
29.669,-3.8738,-20.248,4
41.14,-3.4732,-20.108,4
48.788,-3.2062,-20.015,4
-58.76,-3.1635,-21.404,4
-51.112,-2.8965,-21.311,4
-47.288,-2.7629,-21.264,4
48.306,0.57512,-20.098,4
52.13,0.70864,-20.052,4
-59.242,0.61777,-21.487,4
-47.77,1.0183,-21.347,4
-32.475,1.5524,-21.161,4
-13.356,2.22,-20.928,4
47.824,4.3564,-20.181,4
51.648,4.4899,-20.135,4
-59.724,4.399,-21.57,4
-55.9,4.5326,-21.524,4
-52.076,4.6661,-21.477,4
47.342,8.1377,-20.265,4
54.989,8.4047,-20.171,4
58.813,8.5382,-20.125,4
-60.206,8.1803,-21.654,4
-56.382,8.3138,-21.607,4
23.917,11.118,-20.628,4
27.741,11.251,-20.581,4
50.683,12.052,-20.301,4
54.507,12.186,-20.255,4
58.331,12.32,-20.208,4
-60.688,11.962,-21.737,4
-56.864,12.095,-21.69,4
-53.04,12.229,-21.644,4
-49.217,12.362,-21.597,4
50.201,15.834,-20.385,4
54.025,15.967,-20.338,4
57.849,16.101,-20.291,4
-57.346,15.876,-21.773,4
-53.522,16.01,-21.727,4
-49.699,16.143,-21.68,4
38.248,19.214,-20.608,4
53.543,19.749,-20.421,4
-57.828,19.658,-21.857,4
45.413,23.263,-20.598,4
37.284,26.777,-20.774,4
48.755,27.178,-20.634,4
52.579,27.311,-20.588,4
56.403,27.445,-20.541,4
55.921,31.226,-20.624,4
-59.275,31.002,-22.106,4
-43.98,31.536,-21.92,4
-21.037,32.337,-21.64,4
51.615,34.874,-20.754,4
55.438,35.007,-20.708,4
-55.933,34.916,-22.143,4
-52.109,35.05,-22.096,4
-44.462,35.317,-22.003,4
-40.638,35.45,-21.957,4
-25.343,35.984,-21.77,4
47.309,38.521,-20.884,4
51.133,38.655,-20.837,4
-52.591,38.831,-22.18,4
-48.767,38.965,-22.133,4
-44.944,39.098,-22.086,4
-37.296,39.365,-21.993,4
-33.472,39.499,-21.947,4
-29.649,39.632,-21.9,4
16.237,41.235,-21.34,4
31.532,41.769,-21.154,4
50.651,42.436,-20.921,4
-56.897,42.479,-22.31,4
-53.073,42.612,-22.263,4
-49.25,42.746,-22.216,4
-41.602,43.013,-22.123,4
-33.954,43.28,-22.03,4
11.931,44.882,-21.47,4
31.05,45.55,-21.237,4
34.873,45.683,-21.19,4
42.521,45.95,-21.097,4
46.345,46.084,-21.051,4
50.168,46.218,-21.004,4
-57.379,46.26,-22.393,4
-53.555,46.394,-22.346,4
-45.908,46.661,-22.253,4
-42.084,46.794,-22.206,4
-38.26,46.928,-22.16,4
-30.613,47.195,-22.066,4
26.744,49.198,-21.367,4
34.391,49.465,-21.274,4
38.215,49.598,-21.227,4
42.039,49.732,-21.18,4
49.686,49.999,-21.087,4
-54.037,50.175,-22.429,4
-46.39,50.442,-22.336,4
-42.566,50.576,-22.29,4
-38.742,50.709,-22.243,4
