"","x","y","z","face","place","object"
"V1280",-28.52,62.318,-10.219,-0.000484137057108784,0.000767783739635315,-0.000283646682526531
"V1286",17.365,63.921,-9.6595,-0.000380203730770156,-0.0006734545130646,0.00105365824383476
"V1289",-55.768,65.165,-10.629,0.00103008899586147,-0.000735787435815925,-0.000294301560045541
"V1295",16.883,67.702,-9.7427,0.00149864500906557,-0.00038322145715607,-0.0011154235519095
"V1296",32.178,68.236,-9.5562,0.000119740162916393,-0.000475513477907524,0.000355773314991131
"V1311",16.401,71.483,-9.826,-0.000483465164435371,-0.000433699396778477,0.000917164561213847
"V1316",-41.437,73.262,-10.609,-0.0006763522116116,-0.000818320945941112,0.00149467315755271
"V1320",-22.319,73.929,-10.375,0.000644599933867673,0.00124122715161075,-0.00188582708547843
"V1326",27.39,75.665,-9.7693,0.0008404372716713,-0.00126636330484625,0.000425926033174948
"V1327",-41.919,77.043,-10.692,-0.00122533168744693,0.000635984151994885,0.000589347535452043
"V1336",11.613,78.912,-10.039,0.000773726289144134,-0.000213921201209362,-0.000559805087934772
"V1337",19.261,79.179,-9.9458,-0.000318399136587471,-0.00100059659496089,0.00131899573154836
"V1338",26.908,79.446,-9.8526,-0.0009353773094557,-0.00126690514720602,0.00220228245666172
"V1339",30.732,79.58,-9.806,-9.62740562292697e-05,-0.000636129000255917,0.000732403056485186
"V1340",34.556,79.713,-9.7593,0.000136192559461695,-0.000931656734887692,0.000795464175425997
"V1487",49.501,23.216,-4.3727,-8.19489399193054e-05,-0.000639172623590928,0.000721121563510234
"V1552",-32.278,62.14,-6.221,3.37667869509217e-05,-0.000628356160464465,0.000594589373513544
"V1562",28.42,68.057,-5.5582,0.000701179252902766,-0.000662176022612746,-3.90032302900205e-05
"V1563",32.244,68.191,-5.5116,0.000535004824253363,-0.00033935322652188,-0.000195651597731483
"V1576",27.938,71.839,-5.6415,-0.000281700537245943,0.00111629209141072,-0.000834591554164773
"V1606",-3.6159,78.333,-6.181,-0.0010976385751186,0.000411407642517266,0.000686230932601335
"V1631",-27.523,85.094,-6.6273,0.0002527727502595,-0.00119990777152409,0.00094713502126459
"V1634",10.715,86.43,-6.161,-0.000985164442847132,-0.000454697344617662,0.00143986178746479
"V1718",56.316,-29.767,0.83737,-0.000496698854718582,0.00155057976146042,-0.00105388090674184
"V1723",55.834,-25.986,0.75412,-0.000590565611324993,0.00127608830817005,-0.000685522696845055
"V1728",51.528,-22.338,0.62424,-0.000201362668220494,0.00150685071296677,-0.00130548804474628
"V1746",42.434,-11.261,0.28123,-0.00159320984257616,0.00265526164439714,-0.00106205180182098
"V1801",45.71,53.421,-0.99413,-0.000462652680225458,0.000775922510672001,-0.000313269830446543
"V1806",-50.367,53.865,-2.2431,0.00114908394629062,-0.000156967361000158,-0.000992116585290459
"V1809",-58.496,57.379,-2.4196,-0.000148706508778458,-0.000772072353878092,0.00092077886265655
"V1810",-54.672,57.512,-2.3729,-0.000425493734827705,-0.000351414166024144,0.000776907900851849
"V1822",44.263,64.765,-1.2439,0.000204368994729418,-0.00117116371757036,0.000966794722840937
"V1842",39.476,72.194,-1.457,-0.000401547154949677,-0.000767782576886591,0.00116932973183627
"V1847",-37.482,73.305,-2.4728,-0.000526594982196681,-0.0010975398741046,0.00162413485630128
"V1858",-37.964,77.086,-2.5561,0.000605937251279643,-0.000169939939616997,-0.000435997311662646
"V1886",6.9571,86.251,-2.163,-0.000332197011642479,-0.000894589649082722,0.0012267866607252
"V2063",-61.772,53.419,1.6616,0.0003144769341652,0.00100481426136781,-0.00131929119553301
"V2101",43.365,72.283,2.6342,-0.000209082922860845,0.00142311298564411,-0.00121403006278327
"V2103",-45.064,72.993,1.4785,3.23757005983599e-05,-0.000838105107530816,0.000805729406932456
"V2136",22.8,82.959,2.1513,0.000660978227754364,-0.00056210886728005,-9.88693604743137e-05
"V2147",10.847,86.34,1.9282,0.000733508150355317,-0.00153503748554084,0.000801529335185527
"V2148",14.67,86.473,1.9748,-0.000752309722842624,-8.35100140455151e-05,0.00083581973688814
"V2149",18.494,86.607,2.0214,-0.000358510835083224,-0.000608338682827506,0.00096684951791073
"V2221",-31.017,-36.709,7.9374,3.52337467079688e-05,-0.00131429327405158,0.00127905952734361
"V2229",56.447,-29.857,8.9266,-0.000385824156406551,-0.000841745944108059,0.00122757010051461
"V2263",53.073,-3.3879,8.3438,0.000485226856682611,-0.00108199922470576,0.000596772368023153
"V2301",55.899,34.692,7.6046,0.000562925630213314,-0.00134985235185032,0.000786926721637005
"V2320",-60.742,45.811,5.8727,-0.00112348921534485,-0.000457263131592721,0.00158075234693757
"V2324",-61.224,49.593,5.7895,-0.00110289676979321,6.65046137270602e-05,0.00103639215606615
"V2327",49.665,53.465,7.1417,0.000228885375648975,0.000973412641513283,-0.00120229801716226
"V2332",49.183,57.246,7.0584,7.22030251351896e-05,-0.0010798329383585,0.00100762991322331
"V2334",-58.365,57.289,5.6696,-0.00115805770493882,-0.000118702111769971,0.00127675981670879
"V2335",-54.541,57.422,5.7162,0.00176494692861683,-0.00104847782370752,-0.000716469104909313
"V2336",-50.717,57.556,5.7629,0.000550371370812875,0.00139004221136966,-0.00194041358218254
"V2338",44.877,60.894,6.9286,0.00162196695340241,-0.000463987435482817,-0.00115797951791959
"V2339",48.701,61.027,6.9752,0.00172988118665152,-0.000677384256857288,-0.00105249692979423
"V2340",52.525,61.161,7.0218,0.000385317562366486,0.00125087390389132,-0.0016361914662578
"V2345",9.9813,63.473,6.4257,0.00065995360370614,0.00103250211622748,-0.00169245571993362
"V2349",44.395,64.675,6.8453,0.00106211136683229,-0.00115789036671258,9.57789998802955e-05
"V2358",43.913,68.456,6.7621,0.000351075106761118,0.00044315565170796,-0.000794230758469078
"V2368",43.431,72.238,6.6788,0.000990254541074705,-0.000664389003466768,-0.000325865537607937
"V2388",11.877,78.732,6.1393,0.000905260123856122,-5.1781708407197e-05,-0.000853478415448926
"V2401",11.395,82.513,6.056,-0.000582588141047077,0.000264879664525527,0.000317708476521549
"V2403",22.866,82.914,6.1959,0.000181725863128459,0.00107080390274774,-0.0012525297658762
"V2404",26.69,83.047,6.2425,-0.000420071401858528,0.0010466669930555,-0.000626595591196976
"V2424",10.43,90.076,5.8895,-0.00103133526687112,8.13088231062614e-05,0.000950026443764856
"V2457",-29.505,-48.098,12.232,-0.000299135906488308,0.000417733126348294,-0.000118597219859985
"V2458",-25.681,-47.965,12.278,0.00100987729117482,6.9764057097659e-05,-0.00107964134827248
"V2471",-33.811,-44.45,12.102,-0.000765591867880183,0.000848896608924116,-8.33047410439329e-05
"V2481",38.841,-41.913,12.988,0.00027273391605315,0.000225066180922269,-0.00049780009697542
"V2485",-38.117,-40.803,11.972,0.00145607573250649,0.000185837657681797,-0.00164191339018829
"V2494",-38.599,-37.021,11.889,0.00098067700779042,-9.46550347586364e-05,-0.000886021973031784
"V2497",45.524,-34.084,12.915,0.000445192717275308,-0.000203309227899863,-0.000241883489375444
"V2505",48.866,-30.169,12.878,-0.000918779477674038,0.00108280570902827,-0.000164026231354234
"V2506",52.689,-30.035,12.925,-0.000408246843099886,-0.00055164043829075,0.000959887281390636
"V2508",-39.563,-29.459,11.722,0.000825344567477403,-0.000189492381827108,-0.000635852185650295
"V2510",56.031,-26.121,12.888,-0.000918473784460755,0.000450471058141141,0.000468002726319614
"V2514",47.901,-22.606,12.711,0.000598820706675664,-0.00060925367266339,1.04329659877267e-05
"V2516",55.549,-22.339,12.805,-0.000836264042755769,-5.62872801757887e-05,0.000892551322931557
"V2521",39.772,-19.092,12.535,0.000411881366382443,-0.000827061809930393,0.00041518044354795
"V2522",43.596,-18.959,12.582,0.0006382096086212,-0.000168635889684388,-0.000469573718936813
"V2523",47.419,-18.825,12.628,0.000989169350847689,-0.000400370276633836,-0.000588799074213853
"V2526",54.585,-14.777,12.638,0.000625520989148575,-0.000484814191721883,-0.000140706797426691
"V2531",49.797,-7.3478,12.425,0.000123134676809806,-0.000425397361084995,0.000302262684275188
"V2581",-63.054,34.289,10.12,0.00164300435826824,-0.000744075348228371,-0.000898929010039869
"V2621",32.99,64.229,10.75,-0.000582227921137868,4.56234767145369e-05,0.000536604444423331
"V2622",36.813,64.363,10.797,-0.000843861484930486,0.000705598848004604,0.000138262636925882
"V2630",9.565,67.21,10.387,-1.85579270550379e-05,-0.00044539729250216,0.000463955219557198
"V2632",32.508,68.011,10.667,-0.000532261750023584,0.00097576218376275,-0.000443500433739167
"V2633",36.331,68.144,10.713,-0.00025344451213669,0.00154428845553573,-0.00129084394339904
"V2645",-41.108,73.036,9.6143,-0.000398601528113389,0.000940661339623544,-0.000542059811510155
"V2646",-37.284,73.17,9.661,-0.000144193923566813,-0.000658883417708936,0.000803077341275748
"V2657",-33.943,77.085,9.6243,-0.000429193807983275,-0.000924531409915748,0.00135372521789902
"V2679",26.756,83.002,10.287,-0.000183873118575014,-0.00060835961949812,0.000792232738073134
"V2680",30.579,83.136,10.334,-0.000188544072605683,-0.000303222935530006,0.000491767008135689
"V2692",18.144,90.298,10.027,0.000802747451915516,0.000288211819344868,-0.00109095927126038
"V2705",2.115,-54.637,16.816,0.000884552842312138,-0.00123512401823877,0.000350571175926629
"V2707",17.41,-54.103,17.002,-0.000260868590074611,-0.000966144373838026,0.00122701296391264
"V2754",45.59,-34.129,16.959,-0.000278390606636487,0.00136491235428182,-0.00108652174764533
"V2755",49.414,-33.995,17.006,-0.00138396477638365,-0.000366143913843016,0.00175010869022667
"V2760",-43.321,-29.637,15.72,-0.000372107933666715,0.00106050547211562,-0.000688397538448903
"V2761",-39.497,-29.504,15.767,-7.50052211602157e-05,0.000897194275449025,-0.000822189054288809
"V2861",-1.8404,66.764,14.292,0.000696915122912155,-0.000193372919872505,-0.00050354220303965
"V2864",36.397,68.099,14.758,0.000232859258327435,-0.000832804771562785,0.00059994551323535
"V2869",-36.736,69.344,13.789,3.79612972927905e-05,-0.000605478185922863,0.000567516888630073
"V2873",-2.3225,70.545,14.208,0.000595767212682091,0.000700549630722125,-0.00129631684340422
"V2875",9.1488,70.946,14.348,-9.47197636615877e-05,-0.000647788332119827,0.000742508095781415
"V2882",-2.8046,74.327,14.125,0.00120867251987146,-0.000556934158804573,-0.000651738361066886
"V2889",-41.524,76.773,13.576,-0.000612551309239189,-0.000803641775886526,0.00141619308512572
"V2890",-33.877,77.04,13.669,0.000106662329568399,-0.00128971993552518,0.00118305760595679
"V2894",-3.2867,78.108,14.042,0.000837755423202951,-0.000584480034646355,-0.000253275388556596
"V2896",15.832,78.775,14.275,-0.000387341008654216,-0.000323667634263858,0.000711008642918073
"V2909",11.526,82.423,14.145,0.000144989889364656,-0.000812644922212315,0.000667655032847659
"V2910",15.35,82.557,14.192,-0.000700147328324915,-0.000556103611252242,0.00125625093957716
"V2913",30.645,83.091,14.378,-0.0010115872684357,0.00122447902531793,-0.000212891756882231
"V2922",26.339,86.739,14.248,-5.21162958617906e-05,0.00153920142486307,-0.00148708512900128
"V2923",33.987,87.006,14.342,0.000361463353225047,0.00115391916158034,-0.00151538251480538
"V2938",-20.762,-55.484,20.581,0.00105002255039883,-0.00116249885232651,0.00011247630192768
"V2951",-13.596,-51.435,20.591,0.000341234297522144,-7.29016480480831e-05,-0.000268332649474061
"V2952",-9.7726,-51.302,20.637,0.000404560937875783,-0.000583039843993975,0.000178478906118192
"V2953",1.6987,-50.901,20.777,-0.000151339498379236,-0.000599743857734485,0.000751083356113721
"V2962",-14.078,-47.654,20.507,0.000705282868952887,-0.000638691444836192,-6.65914241166944e-05
