voxel,face,place,object,x,y,z,subject,class,cluster
2160,-1.8887523260792203e-5,-1.2037106187755467e-4,1.3925858513834686e-4,-26.745,78.272,5.844,8,object,3
2179,-7.761893286184395e-6,-1.7341181164868123e-4,1.8117370493486563e-4,16.329,83.936,4.0485,8,object,3
2187,-1.2232907839468757e-4,5.077721275823749e-5,7.155186563645006e-5,19.752,87.845,4.0432,8,place,2
2267,3.7022560766451346e-5,2.6181551088094506e-5,-6.320411185454586e-5,-46.998,-20.735,6.7523,8,face,1
2283,3.8418582504612034e-5,2.4591334089734754e-5,-6.300991659434679e-5,-55.118,-2.3041,7.8657,8,face,1
2304,3.494155673268778e-5,1.7262165164930873e-4,-2.075632083819965e-4,-63.603,23.626,9.2942,8,place,2
2322,-6.152915151890879e-6,-9.567198722734837e-5,1.0182490237923925e-4,-64.332,38.626,9.9246,8,object,3
2324,1.8066640960552193e-4,-8.595433660877274e-5,-9.471207299674917e-5,-57.123,38.944,9.599,8,face,1
2329,1.2870167674925437e-4,-1.4300787487877024e-4,1.4306198129515881e-5,-60.91,42.535,9.9193,8,object,3
2335,1.0704849222459592e-4,-6.395335997333711e-5,-4.309513225125879e-5,-46.673,46.922,9.4258,8,face,1
2342,8.215136906920285e-5,-3.716560714914239e-5,-4.4985761920060454e-5,-54.065,50.353,9.9089,8,face,1
2343,8.989273073290516e-5,-3.3620369095828926e-5,-5.627236163707624e-5,-50.46,50.513,9.7461,8,face,1
2347,8.563368664988769e-5,-3.936726444207339e-5,-4.6266422207814284e-5,-57.852,53.944,10.229,8,face,1
2348,7.979261766724717e-5,-1.9464886217267128e-5,-6.032773144998004e-5,-54.247,54.104,10.067,8,face,1
2350,-5.475620319119645e-5,6.247909386064165e-5,-7.722890669445193e-6,-7.3865,56.177,7.9506,8,place,2
2353,1.1361994666228071e-4,-1.6171629316004445e-4,4.809634649776376e-5,50.288,58.728,5.3464,8,object,3
2356,8.219182964546311e-5,-3.1898795598420544e-5,-5.029303404704257e-5,-58.034,57.694,10.387,8,face,1
2368,1.74650344596944e-4,-7.645717846094282e-5,-9.819316613600117e-5,-43.798,62.082,9.8934,8,face,1
2369,2.0656049552061857e-4,-7.534321239974165e-5,-1.3121728312087694e-4,-40.193,62.241,9.7306,8,face,1
237,1.0454079046985648e-4,2.8777923826225797e-5,-1.3331871429608227e-4,43.881,5.3108,-27.617,8,face,1
2378,2.0473778469182045e-4,-7.78692221708558e-5,-1.2686856252096466e-4,-40.375,65.99,9.8881,8,face,1
2386,-4.402992818957638e-5,6.765441859740224e-5,-2.3624490407825866e-5,10.09,68.223,7.6095,8,place,2
2387,-7.907481442617587e-5,1.6255507089726852e-4,-8.348025647109266e-5,13.695,68.383,7.4466,8,place,2
2390,4.030799391959172e-5,-1.693416117533768e-4,1.2903361783378508e-4,38.927,69.499,6.3073,8,object,3
2394,-8.772602743999955e-5,2.805365781737546e-6,8.492066165826201e-5,53.346,70.137,5.6564,8,place,2
2404,-1.1814168194573852e-4,1.1318138771328082e-4,4.960294232457696e-6,17.117,72.292,7.4415,8,place,2
2411,1.1575051166447139e-4,6.0248474196748115e-5,-1.7599898586121953e-4,-44.344,73.331,10.366,8,face,1
2412,3.1341859443637294e-5,1.4474720792714209e-4,-1.7608906737077938e-4,-40.74,73.491,10.203,8,place,2
2414,1.2066426694000524e-4,-1.5052021416920517e-4,2.985594722919992e-5,-22.716,74.288,9.3895,8,object,3
2424,-1.4254962279504054e-4,4.73980001030161e-5,9.515162269202443e-5,-37.317,77.4,10.198,8,place,2
2425,-1.492509717697863e-4,1.2094795913805001e-4,2.83030126317363e-5,-33.713,77.56,10.035,8,place,2
2427,-2.3852781682338017e-5,-1.8414133476732454e-4,2.0799411644966258e-4,-26.503,77.878,9.7098,8,object,3
2428,3.570924459557772e-5,-2.4498959351090636e-4,2.0928034891532865e-4,-22.899,78.038,9.5471,8,object,3
2436,1.6411477768694377e-5,-1.8549069300922844e-4,1.690792152405341e-4,13.148,79.632,7.9194,8,object,3
