voxel,x,y,z,face,place,object,cluster,category
V1526,-55.336,62.785,-1.2157,6.8123606408626e-4,4.7768781175898e-4,-0.00115892387584524,2,face
V1539,41.99,67.09,-5.6103,6.7301983589037e-4,-0.00136515700482142,6.9213716893104e-4,1,object
V1540,45.595,67.249,-5.7727,-3.631224616647e-4,-6.595573165963e-4,0.00102267977826101,1,object
V1594,-27.227,79.059,-1.8873,8.0715925608217e-4,-4.0234947324442e-4,-4.0480978283774e-4,2,face
V1615,26.66,85.201,-4.1717,5.0064093906473e-4,5.0916456470899e-4,-0.00100980550377374,2,face
V1661,43.547,-34.71,-5.8361,-2.2181618985509e-4,-3.8192816076076e-4,6.0374435061585e-4,1,object
V1713,49.299,-4.3923,-4.9011,-5.7137195975843e-4,6.3274015375936e-4,-6.13681940009294e-5,3,place
V1714,52.903,-4.2328,-5.0638,-2.49584128037157e-5,-8.755508325114e-4,9.0050924531511e-4,1,object
V1717,45.512,-0.80185,-4.5807,-4.734187153114e-4,2.3208004203609e-4,2.4133867327531e-4,3,place
V1718,56.326,-0.32354,-5.069,-1.9989274271367e-4,-3.7103836289673e-4,5.709311056104e-4,1,object
V1721,41.725,2.7886,-4.2604,-3.5204700319684e-4,-2.645688085552e-4,6.1661581175205e-4,1,object
V1762,-64.633,35.663,2.0354,-4.6297908619998e-4,1.6766793743049e-4,2.9531114876949e-4,3,place
V1768,-61.21,39.573,2.0303,-0.00107031857288254,0.00166343397369799,-5.9311540081545e-4,3,place
V1773,-64.997,43.163,2.3506,1.1469722986176e-4,0.00144360294440659,-0.00155830017426836,3,place
V1826,-44.462,66.619,2.3194,6.0330656381683e-4,-3.0552808413754e-4,-2.9777847967929e-4,2,face
V1836,-51.854,70.05,2.8025,0.00108016495583634,-6.1794124750458e-4,-4.6222370833175e-4,2,face
V1837,-48.249,70.209,2.6397,7.4912673270698e-4,-6.7739191173376e-4,-7.17348209732165e-5,2,face
V2077,-57.911,50.588,6.2059,6.2580193451277e-4,-6.49634529779473e-5,-5.6083848153482e-4,2,face
V2088,-18.442,56.092,4.5731,-4.2968715693043e-4,-0.00106703710301141,0.00149672425994184,1,object
V2096,49.864,62.871,1.6382,-3.9459452252144e-4,1.7155873892678e-4,2.2303578359465e-4,3,place
V2121,13.453,68.776,3.5809,5.08565024053e-4,-8.05316306953491e-5,-4.2803339335765e-4,2,face
V2130,-15.566,71.25,5.0405,-3.5607739470041e-4,-6.1018389951622e-4,9.6626129421664e-4,1,object
V2144,-22.958,74.681,5.5237,0.00105706793257781,-7.9055596542649e-4,-2.6651196715131e-4,2,face
V2304,-63.603,23.626,9.2942,5.2853934267606e-4,6.22193444238468e-5,-5.9075868709991e-4,2,face
V2324,-57.123,38.944,9.599,-4.5584154299835e-4,1.821182494038e-4,2.7372329359455e-4,3,place
