...1,x,y,z,face,place,object,cluster,category
V2680,-24.471,-51.573,2.9356,-7.94472666255723e-5,0.00199525513537117,-0.0019158078687456,1,face
V2688,35.561,-49.865,7.053,7.9061238000801e-4,9.1522574504409e-4,-0.00170583812505211,1,face
V2727,49.801,-24.038,11.826,-4.9381913603304e-4,-6.8649678334576e-4,0.00118031591937881,3,object
V2734,-51.724,-19.662,5.9472,-6.5712765300893e-4,-5.4703726973587e-4,0.00120416492274481,3,object
V2738,-51.834,-16.033,6.4826,-4.0766127499386e-4,-0.00119734002593838,0.00160500130093224,3,object
V2780,-64.188,19.933,11.058,-4.50048215724843e-5,0.00173836953908996,-0.00169336471751747,1,face
V2790,-64.298,23.561,11.593,-0.00155608765633261,1.4303368554519e-5,0.00154178428777809,3,object
V2837,-5.144,54.297,19.988,-2.9415764787782e-4,-5.2522413632974e-4,8.1938178420756e-4,3,object
V2842,-46.526,56.752,17.692,-9.21456321093797e-5,-3.0326811329488e-4,3.9541374540426e-4,3,object
V2858,-27.986,64.542,20.048,-1.8600269334925e-4,-0.00157526199675595,0.0017612646901052,3,object
V2937,-1.7723,-59.191,6.8086,8.6395229651402e-4,-5.65751991929945e-5,-8.0737709732103e-4,1,face
V2972,-39.842,-42.115,6.9088,7.9896209688774e-4,-6.7136284958764e-4,-1.275992473001e-4,1,face
V3045,48.12,29.389,23.245,6.7887291695209e-4,6.7069027448714e-4,-0.00134956319143924,1,face
V3055,44.149,36.539,24.057,4.3054910883861e-4,-1.3117008077578e-4,-2.9937902806282e-4,1,face
V3079,-57.596,48.172,19.249,-3.8685300411249e-4,-2.58403678218342e-5,4.1269337193432e-4,3,object
V3086,-5.177,53.295,23.386,5.3062414339141e-4,3.5338591949564e-4,-8.8401006288706e-4,1,face
V3118,-24.377,67.276,24.238,-6.1488847140208e-4,-3.9068327419447e-4,0.00100557174559656,3,object
V3201,16.845,-56.03,12.028,-9.4390695864578e-4,4.9218506519053e-4,4.5172189345524e-4,2,place
V3248,-2.5742,-34.793,13.95,-1.0235867975072e-4,-0.00142829813674002,0.00153065681649075,3,object
V3249,1.1779,-34.686,14.207,9.784249620969e-4,-0.00105472549507526,7.63005329783466e-5,1,face
V3274,-55.981,-7.2577,14.625,5.3035869646584e-4,-2.1338038401625e-4,-3.1697831244958e-4,1,face
V3353,-9.0719,55.815,27.061,8.676462891046e-4,-8.6287249198752e-4,-4.77379711707998e-6,1,face
V3441,5.5558,-57.352,14.654,-7.401924358829e-4,9.4612831187757e-4,-2.0593587599467e-4,2,place
V3447,-20.818,-54.471,13.387,-6.1123115041957e-4,3.0605652938495e-4,3.0517462103462e-4,2,place
V3455,27.958,-53.084,16.733,-1.1764510999914e-4,-0.00165779413570975,0.0017754392457089,3,object
V3461,27.848,-49.455,17.267,0.00143348442496982,-6.7679697372525e-4,-7.5668745124456e-4,1,face
V3577,-4.8038,36.777,28.043,0.00161996660927681,-0.0010671630406248,-5.52803568652e-4,1,face
V3582,-4.9137,40.406,28.578,-0.00108441014507955,0.00119484977957617,-1.1043963449662e-4,2,place
V3591,32.497,45.101,31.686,-5.3314009906463e-4,0.00165182548881674,-0.0011186853897521,2,place
V3634,-16.939,65.486,31.549,-0.00124965661851825,0.00190860699157437,-6.5895037305612e-4,2,place
V3641,39.342,67.087,35.409,5.093801214785e-4,2.1643642187364e-4,-7.2581654335214e-4,1,face
V3687,20.421,-54.299,19.616,0.00109710823655153,-5.2593791944806e-4,-5.7117031710346e-4,1,face
V3688,24.173,-54.191,19.873,8.7808461359044e-4,-7.9232507450084e-4,-8.57595390895911e-5,1,face
V3707,-21.181,-44.587,18.39,1.6982835191374e-4,7.9143688373096e-4,-9.6126523564471e-4,1,face
V3737,38.303,-24.736,25.181,0.00141596710879825,-5.6385787262214e-4,-8.521092361761e-4,1,face
V3738,42.055,-24.63,25.438,-8.874679313486e-4,0.0016141164956233,-7.2664856427469e-4,2,place
V3825,-53.723,38.017,28.631,3.1439452309053e-4,-0.00190701442000973,0.00159261989691919,3,object
V3844,32.354,47.729,35.619,-0.00146939427092839,8.5817581525774e-4,6.1121845567065e-4,2,place
